>mml
ACT     MSCBC1                    AD-244  TIME 240425 1120  OPGROUP
CLUSTER SESSION - NORMAL MODE
<MGSVP;
ORDERED
<

ACT     MSCBC1                    AD-244  TIME 240425 1121  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-13603399656              2          0
4-22890600000              5          5
4-358402001005             2          1
4-33191268760001           1          1
4-14054729365              7          6
4-31624000281             11          9
4-989110014                7          4
4-62816081125              5          5
4-22670900007             48         40
4-971550930007            34         28
4-491700600104             8          8
4-447782000242             2          0
4-919840011921             3          3
4-8190542117850            1          1
4-33191905420161           2          1
4-33191353870058          12          1
4-8613460450000            2          2
4-13123149271              7          6
4-447953700225             9          9
4-48601000064              4          3
4-14054729224              4          3
4-46731260001              6          5
4-33191346070740           2          1
4-420733087402             8          7
4-33689002864              1          1
4-14054729318              6          6
4-48881109008              1          1
4-491700600127             2          2
4-14054729213              7          6
4-12085978678              7          6
4-14054729198              3          2
4-14054729310              6          6
4-12404492440              8          8
4-33609009904             58         47
4-4792001160               9          6
4-14054729321              1          1
4-491700600139             4          4
4-351960995063             4          3
4-447802000252             2          2
4-8613641130000            3          3
4-21350001273             15          9
4-919894000048             3          2
4-491700600108             3          3
4-96541003520              1          0
4-550022102003             5          5
4-97259132999             17         17
4-861476740000             3          2
4-201059968208            11          9
4-61415011016              1          1
4-883390000000000          1          1
4-14054729353              8          8
4-447953700201            19         16
4-97333810260              5          5
4-242055005047            19         18
4-447953700245             4          3
4-61415011020              1          1
4-14054729201              3          3
4-33191393490264          11          7
4-14054729194              4          4
4-33191485010102          35         33
4-336110000099413          6          3
4-491760003024            14         12
4-50495269670              4          3
4-447782000223             2          1
4-8614778410000            4          3
4-3319127820090            1          1
4-33609009902             38         32
4-436760182231             1          1
4-491700600135             6          6
4-358402001004             9          9
4-33191905420284           2          2
4-447953700232             7          6
4-33689008252              2          2
4-33191374950021           1          1
4-14054729363              7          7
4-491700600141             3          2
4-46735487101             10          8
4-33609009170              1          1
4-14054729328              8          8
4-491700600161             2          1
